user_id,dinero_gastado,porcentaje de recomendación,items_count
--000--,19.99,1.72,58.0
--ace--,4.99,18.18,44.0
--ionex--,24.98,34.78,23.0
-2SV-vuLB-Kg,64.97,183.82,68.0
-Azsael-,29.99,0.6,167.0
-Beave-,19.99,2.13,47.0
-I_AM_EPIC-,0.0,5.0,20.0
-Kenny,19.99,0.85,118.0
-Mad-,34.98,2.18,367.0
-PRoSlayeR-,5.98,1.51,529.0
-SEVEN-,151.91,185.03,394.0
-SatansLittleHelper-,14.99,3.57,28.0
-Thyme-,4.99,2.33,43.0
-Ultrix,9.99,0.76,131.0
-Zovix-,14.99,1.96,51.0
-_PussyDestroyer_-,17.98,245.1,51.0
-kainey9777,14.99,1.45,69.0
0-3-0,29.99,5.76,139.0
00000000000000000001227,44.96,232.26,93.0
001000111000111000010,19.99,1.41,71.0
00284702,9.99,inf,0.0
00454211432342,14.99,33.33,24.0
00690069006900,0.0,0.98,102.0
00810cccyyykkk,0.0,14.29,7.0
0099654321891111,2.99,4.35,23.0
00True,49.980000000000004,28.57,28.0
01001000-01101001,104.97,72.73,88.0
011011010111001000101110,14.99,3.85,26.0
011111135489484797,39.98,160.0,5.0
01189958889189157253,74.95,135.85,159.0
01221733,160.91,6.4,125.0
0132489,0.0,inf,0.0
0136849195,3.99,1.61,62.0
01shan,0.0,20.0,5.0
022899,44.98,33.75,80.0
03092002,0.0,4.17,24.0
04061993,54.97,58.41,214.0
04092013,4.99,0.78,128.0
042153100,64.98,6.78,118.0
04280122,0.0,0.88,113.0
0432-026-no,19.99,7.14,14.0
0445233,0.0,inf,0.0
0468313256,0.0,1.16,86.0
05041129,17.98,77.14,70.0
05461025,0.0,1.89,53.0
0700464574757,14.99,2.08,48.0
07824,199.95000000000002,inf,0.0
07846813956825,24.979999999999997,8.7,92.0
08254669696969696969,39.97,inf,0.0
0854029092,0.0,20.0,5.0
0896398616,14.99,4.35,184.0
0903512455,19.99,19.51,41.0
09106,59.980000000000004,36.36,176.0
091263,91.92,197.56,369.0
094553552,0.0,8.99,89.0
095732,19.99,90.0,30.0
095843067,24.99,0.42,239.0
09876543231,19.99,4.0,25.0
098766catdogbnmnnn,19.99,64.29,42.0
09879655452567,97.95,inf,0.0
10000000thVisitor,19.99,0.94,106.0
100101011111000011111111,89.96000000000001,inf,0.0
1001101001110101,4.99,0.35,286.0
10051997,54.96,263.85,130.0
101010101111,9.99,2.38,42.0
1011001,109.92,781.25,128.0
1016523030,0.0,16.67,6.0
10197226,0.0,2.78,36.0
102598615,0.0,2.22,45.0
106816544,0.0,inf,0.0
10936543792,0.0,7.34,109.0
10Degree,54.95,83.33,150.0
10oyard,0.0,5.0,20.0
110211021,14.99,10.96,73.0
1103703132946,0.0,1.54,65.0
11111121111122221,19.98,inf,0.0
111190869,24.99,1.61,62.0
111222333444555666888,104.95,659.62,104.0
11124,4.99,2.27,44.0
111zerosen,4.99,1.54,65.0
1122305938,44.980000000000004,36.16,177.0
112367263762,14.99,inf,0.0
112asdasfasdasd,0.0,4.35,23.0
113595,29.98,35.53,76.0
1136579070,0.0,1.22,82.0
11567jj,0.0,0.98,102.0
117331,0.0,1.49,67.0
117arbiter,64.97,130.12,166.0
119922883377446655123456789,39.99,1.67,60.0
11XGX,14.99,3.72,215.0
120445,0.0,0.83,120.0
120488700,9.99,4.76,21.0
12066gdc,0.0,inf,0.0
1212343456567878909,14.99,24.24,33.0
12125,0.0,6.35,126.0
12223536,19.99,4.52,177.0
123123123131231231,14.99,2.33,43.0
12312312332123,29.979999999999997,87.1,31.0
123123718417671290,19.99,inf,0.0
123232343432555686888554456555,19.99,1.54,65.0
12332165478953761,59.99,13.56,59.0
1234148932401,87.94,inf,0.0
12341846,0.0,3.57,28.0
12345676543456789098543,19.99,10.96,73.0
1234567810132,0.0,2.08,48.0
12345678901234567890123456567890,109.94,166.5,206.0
1234567890192837465,23.979999999999997,27.55,98.0
12345678910a,14.99,1.23,81.0
123456789874561232145678,19.99,0.37,269.0
123456789diamond987654321,19.99,1.41,71.0
1234567io9872345678765432,114.95,330.32,155.0
1234865654,9.99,1.32,76.0
12391939123,9.99,6.45,124.0
123joshua321,0.99,1.15,87.0
123repulseMe,19.99,19.71,137.0
12536475869trhgsdf,0.0,218.18,99.0
1263512533427542734,14.99,inf,0.0
12779,79.96000000000001,119.05,105.0
12839201,0.0,inf,0.0
129874182,39.98,5.16,155.0
12DeAgostoAs12HRSe26MIN,0.0,22.86,35.0
12_gauge_org,58.97,56.25,48.0
12das,0.0,40.0,20.0
1300655506nigga,9.99,19.51,41.0
131312,159.91,540.0,135.0
131467132,14.99,1.79,56.0
1321742413,24.98,189.39,66.0
